PID CMD
834 avahi-daemon:
774 avahi-daemon:
57107 awk
26913 bash
20 [cpuhp/0]
21 [cpuhp/1]
775 @dbus-daemon
55 [ecryptfs-kthread]
1668 fusermount3
1572 gdm-session-worker
56385 gjs
19 [idle_inject/0]
22 [idle_inject/1]
44 [irq/9-acpi]
306 [jbd2/dm-0-8]
595 [jbd2/sda2-8]
32 [kauditd]
37 [kcompactd0]
29 [kdevtmpfs]
40 [khugepaged]
33 [khungtaskd]
38 [ksmd]
16 [ksoftirqd/0]
24 [ksoftirqd/1]
54 [kswapd0]
2 [kthreadd]
55820 [kworker/0:0-events]
56010 [kworker/0:0H-kblockd]
56354 [kworker/0:1-cgroup_destroy]
56714 [kworker/0:2]
30247 [kworker/0:2H-kblockd]
56229 [kworker/1:0-events]
26 [kworker/1:0H-kblockd]
52264 [kworker/1:1-events]
52239 [kworker/1:1H-kblockd]
56479 [kworker/1:2]
57 [kworker/R-acpi_]
46 [kworker/R-ata_s]
43 [kworker/R-blkcg]
91 [kworker/R-charg]
538 [kworker/R-crypt]
50 [kworker/R-devfr]
49 [kworker/R-edac-]
307 [kworker/R-ext4-]
596 [kworker/R-ext4-]
30 [kworker/R-inet_]
66 [kworker/R-ipv6_]
42 [kworker/R-kbloc]
264 [kworker/R-kdmfl]
41 [kworker/R-kinte]
74 [kworker/R-kstrp]
56 [kworker/R-kthro]
47 [kworker/R-md]
48 [kworker/R-md_bi]
65 [kworker/R-mld]
12 [kworker/R-mm_pe]
7 [kworker/R-netns]
4 [kworker/R-rcu_g]
5 [kworker/R-rcu_p]
60 [kworker/R-scsi_]
62 [kworker/R-scsi_]
138 [kworker/R-scsi_]
151 [kworker/R-scsi_]
153 [kworker/R-scsi_]
155 [kworker/R-scsi_]
157 [kworker/R-scsi_]
159 [kworker/R-scsi_]
161 [kworker/R-scsi_]
163 [kworker/R-scsi_]
165 [kworker/R-scsi_]
167 [kworker/R-scsi_]
169 [kworker/R-scsi_]
171 [kworker/R-scsi_]
173 [kworker/R-scsi_]
175 [kworker/R-scsi_]
177 [kworker/R-scsi_]
179 [kworker/R-scsi_]
181 [kworker/R-scsi_]
183 [kworker/R-scsi_]
185 [kworker/R-scsi_]
187 [kworker/R-scsi_]
189 [kworker/R-scsi_]
191 [kworker/R-scsi_]
193 [kworker/R-scsi_]
195 [kworker/R-scsi_]
197 [kworker/R-scsi_]
199 [kworker/R-scsi_]
201 [kworker/R-scsi_]
203 [kworker/R-scsi_]
205 [kworker/R-scsi_]
207 [kworker/R-scsi_]
6 [kworker/R-slub_]
45 [kworker/R-tpm_d]
150 [kworker/R-ttm]
36 [kworker/R-write]
11 [kworker/u4:0-ext4-rsv-conversion]
406 [kworker/u4:1-ext4-rsv-conversion]
56180 [kworker/u5:0-events_unbound]
54764 [kworker/u5:1-flush-252:0]
55312 [kworker/u5:2-events_unbound]
56266 [kworker/u5:3-events_unbound]
55382 [kworker/u6:0-events_unbound]
56141 [kworker/u6:1-events_power_efficient]
56276 [kworker/u6:2-events_unbound]
57044 [kworker/u6:3-events_power_efficient]
56454 [kworker/u6:4-events_power_efficient]
76 [kworker/u7:0]
77 [kworker/u8:0]
78 [kworker/u9:0]
18 [migration/0]
23 [migration/1]
34 [oom_reaper]
3 [pool_workqueue_release]
57106 ps
14270 [psimon]
45516 [psimon]
17 [rcu_preempt]
13 [rcu_tasks_kthread]
14 [rcu_tasks_rude_kthread]
15 [rcu_tasks_trace_kthread]
1 /sbin/init
59 [scsi_eh_0]
61 [scsi_eh_1]
164 [scsi_eh_10]
166 [scsi_eh_11]
168 [scsi_eh_12]
170 [scsi_eh_13]
172 [scsi_eh_14]
174 [scsi_eh_15]
176 [scsi_eh_16]
178 [scsi_eh_17]
180 [scsi_eh_18]
182 [scsi_eh_19]
137 [scsi_eh_2]
184 [scsi_eh_20]
186 [scsi_eh_21]
188 [scsi_eh_22]
190 [scsi_eh_23]
192 [scsi_eh_24]
194 [scsi_eh_25]
196 [scsi_eh_26]
198 [scsi_eh_27]
200 [scsi_eh_28]
202 [scsi_eh_29]
149 [scsi_eh_3]
204 [scsi_eh_30]
206 [scsi_eh_31]
152 [scsi_eh_4]
154 [scsi_eh_5]
156 [scsi_eh_6]
158 [scsi_eh_7]
160 [scsi_eh_8]
162 [scsi_eh_9]
28218 [sd_espeak-ng-mb]
1592 (sd-pam)
51804 /snap/code/167/usr/share/code/chrome_crashpad_handler
51787 /snap/code/167/usr/share/code/code
51872 /snap/code/167/usr/share/code/code
51855 /snap/code/167/usr/share/code/code
51832 /snap/code/167/usr/share/code/code
51898 /snap/code/167/usr/share/code/code
51899 /snap/code/167/usr/share/code/code
51908 /snap/code/167/usr/share/code/code
51929 /snap/code/167/usr/share/code/code
51790 /snap/code/167/usr/share/code/code
51789 /snap/code/167/usr/share/code/code
9226 /snap/firefox/4793/usr/lib/firefox/firefox
28456 /snap/firefox/4793/usr/lib/firefox/firefox
9372 /snap/firefox/4793/usr/lib/firefox/firefox
9563 /snap/firefox/4793/usr/lib/firefox/firefox
